,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,1.661,3.004,7.431,9.579,68.51,0.0,0.0,2.228,412.3,1.001,5.948,1.304,21.48,7.348,0.0,11.66,3.163,2.458,0.0,20.67,0.0,360.5,0.0,6.592,4.227,10.86,24.77,1.104
1,1.744,3.356,8.138,579,97.84,3.562,905,9.368,809.7,997,6.493,1.909,18.77,2.521,1.527,16.25,422,2.852,0.25,39.43,8.405,689.5,5.303,9.218,1.167,14.95,25.47,4.877
2,1.809,1.756,1.003,1.149,135.1,1.043,198,5.115,1575.0,1.374,5.883,7.813,14.34,205,1.885,22.54,7.572,2.364,0.4,94.44,1.625,1297.0,5.688,7.678,1.328,20.29,16.67,2.461
3,2.152,2.591,1.065,794,120.2,108,1.684,7.054,1610.0,1.478,6.673,5.505,16.15,5.634,207,22.39,9.806,3.751,3.786,134.8,2.102,1006.0,4.658,1.108,2.146,18.05,18.91,5.839
4,1.797,1.479,1.069,6.292,155.1,141,2.308,3.118,2906.0,1.515,5.506,9.245,24.27,2.678,1.301,30.67,1.009,2.593,4.819,164.1,2.089,1747.0,3.582,7.738,1.283,23.51,30.73,1.971
5,1.472,3.433,7.557,7.357,78.6,1.699,1.342,2.961,515.9,8.409,5.561,2.2,17.0,4.712,112,12.9,3.778,1.901,2.237,31.16,2.832,477.3,9.959,5.932,3.454,12.43,20.21,1.079
6,2.124,132,1.096,6.272,79.47,2.166,8.175,3.813,515.3,1.402,6.894,7.959,20.04,2.315,9.894,13.16,1.811,2.709,3.535,12.58,8.088,453.1,3.966,8.839,1.152,12.22,24.17,2.198
7,192,3.218,9.524,8.328,73.34,2.278,3.036,2.386,506.2,1.249,5.907,9.591,18.75,872,867,12.84,3.249,3.306,9.076,23.47,6.316,409.0,1.349,7.036,5.473,11.52,22.47,8.722
8,2.037,2.105,8.668,1.547,48.34,1.364,9.252,7.551,223.6,1.596,7.751,1.479,25.44,3.064,1.364,8.678,2.196,279,3.393,11.73,0.05,170.4,9.252,1.066,1.199,7.691,31.89,6.457
9,1.521,2.163,8.875,4.732,94.87,3.528,4.608,2.783,880.8,122,5.912,3.981,14.74,2.009,1.067,17.27,3.428,3.109,2.151,29.06,1.251,668.7,1.855,8.187,778,14.76,17.93,1.506
10,2.081,1.798,9.037,138,61.5,1.407,1.103,4.261,355.2,1.467,6.312,1.409,15.67,937,9.472,10.75,2.684,2.841,4.043,16.39,5.159,289.9,8.347,8.175,4.689,9.742,20.88,1.067
11,1.449,2.941,8.518,3.478,69.14,1.369,1.236,3.428,392.2,9.312,6.031,1.027,12.35,7.506,9.393,11.37,1.753,2.143,2.884,11.09,3.194,363.7,1.072,6.643,4.721,10.91,14.82,1.221
12,199,1.934,988,451,106.3,5.397,6.651,3.696,861.5,1.235,6.572,489,16.07,255,1.196,16.97,1.745,3.153,2.114,14.91,1.251,788.5,1.951,896,1.438,16.17,19.14,1.812
13,1.571,297,8.682,7.702,78.29,2.054,2.109,1.432,533.1,1.048,5.708,9.078,14.95,6.744,103,13.18,3.833,2.298,4.921,30.15,4.793,469.1,1.307,5.974,4.571,12.34,16.85,8.491
14,203,2.912,9.566,3.495,71.49,2.257,4.824,4.723,436.6,1.087,6.552,1.467,22.44,1.782,1.024,12.02,0.28,3.169,1.564,17.85,6.413,378.4,3.445,8.032,8.194,11.13,28.26,3.051
15,1.847,2.981,8.401,9.769,103.7,5.364,9.938,3.002,876.5,1.131,5.338,1.078,23.95,1.924,1.992,16.84,4.033,2.809,2.322,36.58,1.119,782.7,5.051,6.287,1.002,15.85,27.66,3.126
16,165,2.207,1.099,6.133,93.86,6.495,6.895,3.563,749.9,1.347,6.121,7.213,13.98,1.478,1.136,15.8,306,2.606,1.373,25.7,1.069,644.2,1.615,781,9.242,14.53,16.93,1.251
17,189,21,1.007,7.803,64.41,1.775,2.511,2.778,384.0,1.402,6.331,2.015,17.53,1.402,8.043,11.16,2.619,2.894,1.055,16.85,6.499,310.8,169,7.664,7.326,10.05,26.84,1.449
18,1.551,2.383,8.464,1.164,60.21,1.667,1.652,354,335.9,1.504,6.403,8.301,15.91,9.515,9.623,10.51,2.152,2.757,7.161,12.64,7.222,279.6,1.186,8.178,4.087,9.567,19.16,104
19,173,2.625,1.005,8.725,83.14,337,6.155,4.726,585.4,1.483,647,7.636,16.02,2.068,1.132,13.74,2.094,338,2.241,17.67,1.056,513.7,2.335,9.584,7.943,12.95,19.93,2.003
20,191,2.637,1.061,7.899,65.12,1.915,1.768,3.761,375.6,1.406,6.908,1.217,17.53,144,7.624,11.17,2.467,3.055,6.572,15.05,5.575,313.1,8.534,8.797,8.502,10.18,22.84,14
21,1.586,141,9.867,5.718,94.74,5.259,7.395,2.085,1138.0,1.464,5.922,1.24,20.13,1.871,1.109,19.07,4.727,3.029,2.914,45.4,1.609,684.5,1.998,8.216,72,14.68,30.88,1.162
22,197,1.799,8.654,5.518,78.27,2.331,3.885,2.484,564.2,1.217,6.228,9.823,17.94,1.788,7.924,13.59,0.22,3.113,1.943,16.51,8.211,460.3,1.994,8.132,6.679,12.25,25.22,1.562
23,1.893,1.623,1.037,5.654,127.2,9.464,1.626,1.965,1628.0,1.518,5.892,9.951,18.18,3.749,1.499,23.79,4.709,359,4.316,53.16,2.252,1145.0,3.059,7.787,1.442,19.4,28.65,2.199
24,172,1.377,1.016,5.367,88.4,5.439,1.063,3.187,740.4,161,6.419,5.914,20.82,4.225,1.262,15.53,213,2.807,503,18.52,2.258,559.2,3.049,1.071,1.255,13.48,26.02,2.239
25,1.959,1.924,1.028,8.045,78.85,37,3.987,2.248,549.1,1.385,5.955,6.656,12.39,1.266,1.241,13.5,236,2.827,1.242,17.43,9.391,464.1,1.683,6.771,6.981,12.32,15.64,118
26,1.442,1.637,7.515,6.142,68.69,6.588,309,2.665,470.0,1.171,5.743,7.614,12.96,8.294,3.576,12.36,2.818,2.738,1.854,18.54,3.953,366.8,1.835,7.685,3.718,10.9,18.2,6.134
27,2.054,1.995,9.592,6.663,73.93,2.854,1.548,8.675,472.9,1.347,7.669,1.642,18.19,4.848,1.314,12.58,2.428,3.308,7.436,16.39,1.218,389.4,888,1.297,1.325,11.3,27.96,5.914
28,231,5.333,9.081,6.548,128.3,9.961,2.107,7.646,1651.0,1.247,6.343,1.666,24.81,7.444,2.638,24.09,9.811,467,7.242,104.9,2.493,1104.0,9.723,1.038,219,19.07,33.17,1.006
29,1.506,161,8.931,4.107,92.41,3.058,5.063,2.744,828.5,1.153,6.009,1.018,20.53,3.429,135,16.45,3.478,2.534,2.512,31.01,1.339,618.4,2.821,7.858,1.108,14.2,27.26,3.288
30,1.632,1.494,7.618,5.031,92.68,1.877,1.447,8.948,840.8,1.011,5.255,9.115,15.69,7.087,6.324,16.46,316,253,4.746,28.9,5.813,664.9,5.325,5.695,3.515,14.61,21.75,6.021
31,1.711,1.344,9.427,7.394,104.7,4.563,5.526,2.569,928.2,1.354,5.657,4.706,15.7,1.361,1.431,17.32,2.067,0.23,1.947,20.67,1.357,819.8,247,723,6.712,16.3,17.76,1.203
32,1.721,1.647,7.963,5.012,97.65,2.657,3.393,1.767,819.1,1.126,5.544,4.125,13.21,1.737,9.155,16.2,1.783,2.487,1.362,17.72,8.178,711.8,1.551,6.766,6.934,15.19,15.73,1.485
33,1.847,1.477,9.087,5.463,75.26,1.638,2.853,3.071,562.0,1.244,6.019,1.14,17.26,1.726,5.398,13.45,3.438,2.779,1.449,25.06,5.356,431.9,2.079,8.121,6.232,11.8,24.49,1.964
34,1.848,1.117,1.085,6.666,137.8,1.121,2.188,3.727,1760.0,1.464,6.222,1.216,21.24,3.597,1.479,23.86,5.904,248,5.179,75.09,2.113,1320.0,4.062,8.999,1.644,20.59,30.76,2.791
35,168,2.693,8.311,1.098,61.06,5.769,1.479,2.979,380.2,1.388,6.412,1.312,18.1,1.255,3.934,11.15,3.416,3.057,6.409,20.98,25,286.3,1.031,7.875,5.428,9.668,24.62,1.257
36,2.086,2.653,1.031,9.976,98.22,63,145,5.444,809.2,1.312,7.406,1.511,13.98,3.635,158,16.46,5.462,2.827,3.219,49.45,1.108,656.1,5.278,9.208,1.836,14.69,18.34,5.244
37,1.973,1.675,1.001,4.426,141.3,1.255,1.932,4.367,1535.0,1.192,6.183,1.309,15.1,284,1.343,22.69,3.414,273,4.024,39.06,1.966,1386.0,3.437,8.666,1.515,21.37,21.84,2.675
38,2.548,3.546,1.072,1.097,63.78,7.857,4.108,2.984,380.5,1.292,9.296,2.664,15.34,2.772,5.279,11.02,8.245,3.108,8.216,49.85,1.571,300.2,396,1.259,1.599,9.731,19.49,9.586
39,1.929,1.852,116,7.269,102.4,9.113,1.891,4.232,1359.0,1.681,6.744,1.331,19.97,3.913,1.639,21.2,647,3.187,5.553,66.91,2.121,744.7,4.972,1.019,1.562,15.49,29.41,2.928
40,1.739,1.447,8.013,508,77.22,177,2.383,1.532,547.8,1.123,5.677,1.571,20.52,8.862,6.797,13.34,1.924,2.694,1.145,14.68,7.431,458.7,1.069,6.878,4.038,12.18,32.84,6.098
41,2.129,5.014,8.402,4.024,114.2,5.596,7.293,1.902,1261.0,1.072,5.025,1.214,20.01,1.202,9.863,20.58,5.506,4.882,2.249,54.04,1.185,982.0,2.291,6.111,6.722,17.95,27.83,8.422
42,1.601,1.731,8.794,6.494,82.29,2.548,4.052,4.392,618.8,1.194,614,6.594,13.37,2.208,1.069,14.19,3.265,2.564,1.769,25.18,8.411,504.1,3.137,8.253,7.948,12.76,16.4,2.768
43,1.574,1.869,8.044,5.421,83.05,4.083,739,4.067,591.0,9.534,575,1.265,17.46,1.812,1.384,13.74,3.639,1.988,1.901,30.57,8.296,508.3,4.545,7.053,8.895,12.8,21.06,3.477
44,1.875,1.792,8.372,7.595,75.54,228,2.688,1.784,517.8,1.369,5.715,1.238,17.46,1.758,8.578,13.06,207,3.101,1.316,13.88,914,432.7,1.412,7.007,5.642,11.85,25.75,15
45,1.627,174,8.682,8.312,93.97,5.271,839,2.871,758.2,1.312,5.416,1.627,23.29,1.581,1.576,15.79,4.157,2.477,2.675,33.01,1.359,664.7,3.389,6.836,6.636,14.6,31.71,1.742
46,212,1.805,1.125,7.509,82.51,2.995,388,3.629,624.1,1.475,6.623,1.003,16.7,1.979,9.199,14.45,3.834,3.071,1.423,28.62,8.045,493.8,1.977,8.557,1.117,12.75,21.74,1.561
47,1.555,2.014,8.684,5.836,88.68,2.293,1.342,2.326,749.1,1.118,5.673,1.678,19.6,1.141,7.039,15.63,3.419,2.513,4.753,29.63,589,592.6,5.812,6.911,633,13.85,28.01,1.095
48,1.645,2.282,1.092,6.664,73.66,1.861,2.031,3.526,503.0,1.413,6.562,1.908,17.31,1.792,952,12.78,2.843,2.584,7.708,21.38,6.402,398.0,1.158,8.096,9.486,11.43,26.76,1.735
49,1.922,2.287,1.122,1.188,68.64,3.068,6.476,6.792,374.4,0.13,7.782,1.86,20.19,2.049,1.544,11.16,3.336,2.383,1.295,19.91,6.136,334.2,4.591,9.026,1.303,10.51,22.75,3.747
50,1.382,1.466,7.683,4.729,76.09,5.592,1.546,1.755,523.4,1.013,607,9.097,17.93,739,3.951,13.07,2.335,2.171,7.732,16.97,2.796,446.0,1.184,7.037,3.892,12.03,22.25,6.887
51,1.954,2.358,9.379,8.426,71.79,3.333,1.487,1.627,458.0,1.259,5.821,1.28,14.16,7.348,3.333,12.2,2.375,2.758,4.955,17.09,1.111,396.6,1.487,6.386,3.872,11.33,18.99,8.998
52,1.516,2.124,8.508,6.709,73.88,1.777,3.367,2.768,495.1,1.342,5.859,7.656,18.36,1.808,7.497,12.77,1.816,321,186,12.89,8.288,412.7,208,7.863,5.855,11.6,24.02,1.701
53,1.926,1.451,1.038,6.113,93.77,6.139,1.463,3.756,728.3,138,5.982,1.851,22.55,2.733,1.276,15.29,2.027,2.698,4.234,18.54,1.362,629.8,4.645,8.351,1.154,14.27,34.27,2.583
54,1.779,1.843,1.046,4.957,73.99,1.969,5.308,3.614,467.6,1.352,6.574,1.166,14.59,201,8.038,12.4,2.034,2.941,2.596,14.34,7.431,404.9,4.156,918,8.228,11.49,21.9,2.114
55,1.769,1.083,9.428,4.728,137.2,8.632,1.097,1.987,2615.0,1.401,5.278,1.127,23.04,0.26,1.038,29.17,6.917,2.822,3.155,93.99,2.009,1404.0,1.715,7.526,1.022,21.16,35.59,1.259
56,195,1.522,9.872,4.044,94.49,598,118,1.976,1044.0,1.552,6.466,6.509,20.22,4.056,7.303,18.33,2.092,4.753,4.967,19.42,1.838,642.7,0.02,1.013,1.206,14.45,30.12,1.597
57,1.834,2.689,0.12,138,90.63,6.526,1.385,4.306,806.9,1.737,6.877,2.112,22.29,3.122,206,16.39,6.191,308,3.809,49.7,1.673,588.9,4.665,9.333,1.267,13.77,34.01,3.348
58,2.397,4.484,974,3.139,132.4,1.118,2.065,1.284,1332.0,1.037,78,3.568,24.8,3.903,409,20.96,9.555,3.176,3.639,116.2,1.767,1123.0,889,1.023,2.458,19.17,29.94,8.297
59,1.487,1.959,9.587,5.415,96.12,4.951,6.824,1.812,783.6,1.216,5.748,1.636,20.21,1.388,1.183,16.01,2.323,2.369,0.17,21.84,1.017,680.9,2.153,6.599,8.345,14.87,28.48,1.371
60,1.667,1.215,8.369,6.054,82.61,1.762,1.206,1.514,628.5,1.218,5.449,1.232,25.13,1.093,6.336,14.34,2.621,2.306,4.462,21.19,5.921,520.2,5.681,6.291,5.073,13.0,31.88,8.974
61,1.761,1.323,9.258,4.088,87.76,3.085,5.285,1.465,848.7,1.471,613,1.005,24.69,2.884,688,16.89,231,347,3.796,19.83,1.329,572.6,1.796,79,7.862,13.61,35.64,1.174
62,1.613,2.869,7.372,1.039,78.83,1.149,7.173,4.821,534.0,9.439,6.013,1.486,12.83,6.477,7.895,13.19,3.276,228,1.674,24.6,268,477.3,6.416,7.028,4.043,12.46,16.36,1.003
63,1.896,2.789,961,5.776,110.1,6.018,1.348,2.665,1229.0,1.563,5.656,9.197,21.59,3.835,1.195,20.01,4.615,4.863,5.409,45.19,1.813,869.5,3.695,8.633,1.336,16.74,29.02,2.499
64,2.069,1.961,1.131,6.429,93.6,8.025,2.128,8.093,697.7,1.651,7.682,1.169,22.61,7.725,1.628,15.03,2.121,3.596,6.943,19.21,2.208,578.3,5.501,1.431,2.293,13.73,32.01,5.936
65,2.375,5.543,1.243,9.329,107.1,1.242,2.914,733,915.3,155,7.603,1.324,19.22,5.046,2.283,17.36,5.204,4.245,6.872,51.22,2.135,758.6,9.953,105,2.364,15.75,24.17,6.559
66,0.19,222,1.045,5.433,77.79,2.941,249,3.408,495.2,114,6.635,1.511,17.84,9.358,1.519,12.83,3.661,2.227,498,24.44,5.882,451.1,1.131,7.376,7.057,12.18,20.92,1.179
67,2.019,2.258,9.773,9.895,76.39,2.179,2.555,2.272,522.9,1.426,629,1.203,21.17,2.187,9.276,13.05,2.747,3.075,1.164,19.53,8.263,433.8,163,7.351,812,11.89,27.21,3.053
68,2.116,1.705,1.106,5.414,88.64,8.172,1.445,4.005,844.4,1.574,7.325,9.306,20.52,3.856,1.334,16.41,3.906,3.585,5.106,33.67,2.051,556.7,3.452,1.109,1.469,13.4,29.66,2.265